"행정구역","2025년05월_남_총인구수","2025년05월_남_연령구간인구수","2025년05월_남_0세","2025년05월_남_1세","2025년05월_남_2세","2025년05월_남_3세","2025년05월_남_4세","2025년05월_남_5세","2025년05월_남_6세","2025년05월_남_7세","2025년05월_남_8세","2025년05월_남_9세","2025년05월_남_10세","2025년05월_남_11세","2025년05월_남_12세","2025년05월_남_13세","2025년05월_남_14세","2025년05월_남_15세","2025년05월_남_16세","2025년05월_남_17세","2025년05월_남_18세","2025년05월_남_19세","2025년05월_남_20세","2025년05월_남_21세","2025년05월_남_22세","2025년05월_남_23세","2025년05월_남_24세","2025년05월_남_25세","2025년05월_남_26세","2025년05월_남_27세","2025년05월_남_28세","2025년05월_남_29세","2025년05월_남_30세","2025년05월_남_31세","2025년05월_남_32세","2025년05월_남_33세","2025년05월_남_34세","2025년05월_남_35세","2025년05월_남_36세","2025년05월_남_37세","2025년05월_남_38세","2025년05월_남_39세","2025년05월_남_40세","2025년05월_남_41세","2025년05월_남_42세","2025년05월_남_43세","2025년05월_남_44세","2025년05월_남_45세","2025년05월_남_46세","2025년05월_남_47세","2025년05월_남_48세","2025년05월_남_49세","2025년05월_남_50세","2025년05월_남_51세","2025년05월_남_52세","2025년05월_남_53세","2025년05월_남_54세","2025년05월_남_55세","2025년05월_남_56세","2025년05월_남_57세","2025년05월_남_58세","2025년05월_남_59세","2025년05월_남_60세","2025년05월_남_61세","2025년05월_남_62세","2025년05월_남_63세","2025년05월_남_64세","2025년05월_남_65세","2025년05월_남_66세","2025년05월_남_67세","2025년05월_남_68세","2025년05월_남_69세","2025년05월_남_70세","2025년05월_남_71세","2025년05월_남_72세","2025년05월_남_73세","2025년05월_남_74세","2025년05월_남_75세","2025년05월_남_76세","2025년05월_남_77세","2025년05월_남_78세","2025년05월_남_79세","2025년05월_남_80세","2025년05월_남_81세","2025년05월_남_82세","2025년05월_남_83세","2025년05월_남_84세","2025년05월_남_85세","2025년05월_남_86세","2025년05월_남_87세","2025년05월_남_88세","2025년05월_남_89세","2025년05월_남_90세","2025년05월_남_91세","2025년05월_남_92세","2025년05월_남_93세","2025년05월_남_94세","2025년05월_남_95세","2025년05월_남_96세","2025년05월_남_97세","2025년05월_남_98세","2025년05월_남_99세","2025년05월_남_100세 이상","2025년05월_여_총인구수","2025년05월_여_연령구간인구수","2025년05월_여_0세","2025년05월_여_1세","2025년05월_여_2세","2025년05월_여_3세","2025년05월_여_4세","2025년05월_여_5세","2025년05월_여_6세","2025년05월_여_7세","2025년05월_여_8세","2025년05월_여_9세","2025년05월_여_10세","2025년05월_여_11세","2025년05월_여_12세","2025년05월_여_13세","2025년05월_여_14세","2025년05월_여_15세","2025년05월_여_16세","2025년05월_여_17세","2025년05월_여_18세","2025년05월_여_19세","2025년05월_여_20세","2025년05월_여_21세","2025년05월_여_22세","2025년05월_여_23세","2025년05월_여_24세","2025년05월_여_25세","2025년05월_여_26세","2025년05월_여_27세","2025년05월_여_28세","2025년05월_여_29세","2025년05월_여_30세","2025년05월_여_31세","2025년05월_여_32세","2025년05월_여_33세","2025년05월_여_34세","2025년05월_여_35세","2025년05월_여_36세","2025년05월_여_37세","2025년05월_여_38세","2025년05월_여_39세","2025년05월_여_40세","2025년05월_여_41세","2025년05월_여_42세","2025년05월_여_43세","2025년05월_여_44세","2025년05월_여_45세","2025년05월_여_46세","2025년05월_여_47세","2025년05월_여_48세","2025년05월_여_49세","2025년05월_여_50세","2025년05월_여_51세","2025년05월_여_52세","2025년05월_여_53세","2025년05월_여_54세","2025년05월_여_55세","2025년05월_여_56세","2025년05월_여_57세","2025년05월_여_58세","2025년05월_여_59세","2025년05월_여_60세","2025년05월_여_61세","2025년05월_여_62세","2025년05월_여_63세","2025년05월_여_64세","2025년05월_여_65세","2025년05월_여_66세","2025년05월_여_67세","2025년05월_여_68세","2025년05월_여_69세","2025년05월_여_70세","2025년05월_여_71세","2025년05월_여_72세","2025년05월_여_73세","2025년05월_여_74세","2025년05월_여_75세","2025년05월_여_76세","2025년05월_여_77세","2025년05월_여_78세","2025년05월_여_79세","2025년05월_여_80세","2025년05월_여_81세","2025년05월_여_82세","2025년05월_여_83세","2025년05월_여_84세","2025년05월_여_85세","2025년05월_여_86세","2025년05월_여_87세","2025년05월_여_88세","2025년05월_여_89세","2025년05월_여_90세","2025년05월_여_91세","2025년05월_여_92세","2025년05월_여_93세","2025년05월_여_94세","2025년05월_여_95세","2025년05월_여_96세","2025년05월_여_97세","2025년05월_여_98세","2025년05월_여_99세","2025년05월_여_100세 이상"
"전국  (0000000000)","25,470,398","25,470,398","123,966","118,693","126,511","133,906","140,541","151,779","165,912","180,622","200,642","222,458","228,192","224,837","242,789","244,853","249,872","231,798","235,962","253,824","237,177","226,520","232,839","250,425","252,154","272,601","316,010","327,198","325,365","340,467","350,326","368,069","371,420","375,018","381,845","373,056","340,512","336,441","326,847","315,214","318,091","331,811","329,082","361,742","397,959","424,148","425,527","424,315","380,346","382,228","375,829","388,937","411,219","441,216","448,221","455,111","468,963","447,900","466,974","416,241","410,553","415,569","411,997","371,834","436,247","405,896","454,777","411,463","377,671","358,872","329,534","308,171","313,596","237,878","235,424","221,986","177,593","191,676","179,447","175,655","163,685","109,469","118,443","107,594","121,025","108,851","81,134","71,500","62,446","49,686","41,356","32,867","25,244","17,753","12,945","9,164","5,824","4,281","3,359","1,976","1,230","661","1,545","25,698,750","25,698,750","117,896","113,119","120,495","127,978","134,158","144,043","157,397","170,865","190,511","212,667","217,207","214,409","231,144","232,023","236,868","218,315","222,897","239,799","223,792","212,396","218,508","233,107","233,593","252,007","292,599","301,357","299,126","317,356","323,640","332,488","328,150","333,135","341,287","339,149","311,946","304,232","300,348","296,716","302,160","312,542","312,872","346,625","383,819","409,658","408,476","410,971","370,405","373,153","359,594","380,962","399,494","433,120","439,029","438,683","456,450","439,401","465,541","421,313","403,844","407,145","412,500","369,082","427,855","409,669","473,797","434,196","394,435","372,090","350,220","334,122","344,071","265,408","266,176","252,429","207,710","225,814","215,488","214,751","206,862","140,567","162,933","159,574","181,212","173,149","137,458","129,887","119,947","101,662","91,760","79,917","66,420","51,597","40,718","32,211","22,939","18,085","13,559","9,328","6,264","3,625","7,283"
"서울특별시  (1100000000)","4,499,145","4,499,145","21,068","19,235","19,899","21,122","22,003","23,431","25,464","27,099","29,858","33,162","34,326","34,037","36,936","37,052","37,968","35,602","36,402","39,988","38,260","38,074","39,980","43,377","45,477","50,510","61,291","65,587","68,436","73,348","76,415","80,834","81,910","82,381","83,391","80,545","72,789","69,575","67,188","62,666","62,136","62,909","61,486","66,913","69,888","74,138","73,933","72,673","65,107","64,478","64,525","65,542","69,907","74,013","76,043","78,193","79,767","75,762","76,412","67,698","65,181","65,928","65,835","60,636","68,801","63,975","70,759","66,114","61,998","59,976","54,808","52,791","54,385","42,141","42,201","38,420","31,858","34,767","32,477","32,390","31,216","21,211","22,562","20,651","22,689","20,800","15,285","13,006","11,233","8,951","7,160","5,888","4,314","3,024","2,301","1,576","1,049","790","675","409","245","123","337","4,828,897","4,828,897","20,050","18,287","19,203","19,995","20,869","21,786","23,509","25,812","28,682","32,071","32,911","31,905","35,207","34,964","36,022","33,767","34,951","37,565","37,326","38,816","43,803","49,225","51,754","59,035","71,788","76,341","78,067","83,608","84,940","85,659","83,115","82,435","82,440","80,140","71,930","67,769","66,634","63,171","63,372","63,551","62,447","66,969","71,876","74,909","74,654","75,259","67,677","67,144","66,059","67,972","71,352","76,773","78,625","79,441","81,984","77,491","79,525","71,985","67,249","68,235","70,050","64,531","72,153","68,705","80,196","75,738","70,047","67,458","64,138","61,798","64,201","50,308","49,861","45,767","38,356","42,726","40,316","40,830","39,643","27,582","29,261","27,932","30,065","28,310","21,824","19,850","18,237","15,062","13,478","11,382","9,330","7,316","5,668","4,581","3,277","2,665","2,039","1,422","991","545","1,157"
"부산광역시  (2600000000)","1,582,928","1,582,928","6,802","6,540","7,113","7,664","7,938","8,610","9,372","10,890","11,801","13,504","13,680","13,366","14,125","14,159","14,257","12,954","12,923","13,893","13,038","12,607","13,143","14,878","15,680","16,827","19,701","19,757","18,711","19,157","19,986","20,755","21,012","21,355","22,092","21,654","19,754","20,023","18,927","18,134","18,345","19,226","19,367","21,607","23,797","25,934","26,421","26,703","23,196","23,265","22,154","22,815","24,574","25,988","26,526","27,092","27,544","26,884","28,091","25,332","24,690","25,367","24,446","23,251","28,153","26,601","30,452","27,738","26,385","25,749","24,788","23,232","24,275","18,650","18,327","17,784","14,476","15,323","14,386","13,610","12,501","8,147","9,505","8,476","9,178","7,706","5,952","5,145","4,349","3,214","2,691","1,997","1,465","1,091","667","511","327","239","202","88","59","35","57","1,671,529","1,671,529","6,413","6,216","6,704","7,321","7,404","8,215","9,294","10,041","11,457","12,821","13,005","12,564","13,455","13,579","13,639","12,085","12,320","13,317","12,414","12,398","13,390","14,742","14,881","15,961","18,122","18,417","17,642","19,036","19,359","19,445","19,480","19,807","20,231","20,170","18,330","18,225","17,885","17,612","17,666","18,235","18,735","20,924","23,397","25,245","25,818","26,115","22,997","22,435","21,350","22,957","24,523","26,332","27,007","27,256","28,570","27,835","29,590","27,549","26,636","26,989","26,907","25,249","30,418","29,879","35,253","32,303","30,163","29,009","28,226","27,688","27,845","21,691","22,452","21,134","17,583","18,915","18,399","17,477","16,072","10,373","12,840","11,782","13,153","12,080","9,854","8,963","7,820","6,335","5,704","4,815","4,026","2,930","2,238","1,928","1,194","935","802","590","344","222","380"
"대구광역시  (2700000000)","1,155,934","1,155,934","5,373","5,170","5,283","5,983","6,198","7,086","7,684","8,444","9,578","10,468","10,659","10,285","11,256","11,189","11,437","10,482","10,741","11,599","10,891","10,600","10,889","12,228","12,181","12,887","14,703","15,015","14,194","14,574","14,790","15,467","15,668","15,874","16,437","16,573","14,884","15,185","14,473","13,802","14,015","14,519","14,027","15,382","16,811","18,084","18,516","18,378","16,679","16,647","17,165","17,471","18,674","19,858","20,440","20,742","21,219","20,893","21,786","20,385","19,472","19,474","19,210","17,555","20,506","19,439","20,751","19,114","17,462","16,049","15,517","14,160","14,216","11,014","11,642","10,990","8,530","9,242","8,985","8,170","7,205","4,540","5,205","5,244","5,987","5,026","3,756","3,302","2,840","2,327","1,928","1,508","1,213","743","577","445","233","141","120","74","40","18","43","1,202,063","1,202,063","5,154","4,820","5,142","5,609","5,826","6,537","7,209","8,151","9,070","9,930","10,210","9,988","10,713","10,783","10,813","9,833","9,978","11,041","10,276","9,845","10,195","11,119","11,008","11,496","13,131","13,335","12,318","13,418","13,906","14,346","13,772","13,947","14,337","14,157","12,924","13,015","12,178","12,159","12,613","12,990","13,029","15,070","17,318","18,504","18,788","18,875","16,977","16,994","17,306","18,004","19,223","20,929","21,389","21,672","22,179","22,166","22,859","21,351","20,501","20,576","20,609","18,683","21,689","20,558","23,073","21,519","19,243","17,322","17,187","16,681","16,633","13,041","14,609","13,641","10,725","11,296","11,740","10,903","9,955","5,986","7,695","8,418","9,018","8,190","6,832","6,343","5,502","4,757","4,154","3,540","3,015","2,215","1,727","1,390","995","691","521","353","234","143","235"
"인천광역시  (2800000000)","1,517,498","1,517,498","8,352","7,739","8,283","8,584","8,972","9,706","10,533","11,046","12,211","13,271","13,793","13,401","14,413","14,742","14,888","13,667","13,784","14,868","13,996","13,274","13,380","14,583","14,519","15,745","18,054","19,215","19,313","20,375","21,312","22,235","22,892","23,706","24,562","24,414","22,189","21,703","21,299","20,091","20,513","21,540","21,189","23,110","25,406","26,947","27,002","26,962","23,722","23,608","22,834","23,594","24,980","26,098","26,609","26,810","27,543","26,125","27,127","24,142","23,894","24,642","25,176","22,734","26,681","24,630","27,147","24,498","22,282","20,617","18,517","17,045","16,929","12,614","12,309","11,384","8,680","9,932","9,054","8,921","8,288","5,595","5,747","5,318","5,633","5,011","3,676","3,196","2,906","2,264","1,824","1,503","1,110","814","587","386","292","208","184","104","64","31","100","1,519,551","1,519,551","7,838","7,413","7,857","8,431","8,483","9,077","10,034","10,285","11,540","12,936","13,149","12,814","13,741","13,814","14,128","12,948","13,250","14,229","13,206","12,557","12,443","13,521","13,644","15,075","17,344","17,990","18,029","19,342","19,594","20,463","20,652","21,329","22,035","22,402","20,273","19,848","19,473","18,997","19,006","19,793","19,510","21,817","23,843","25,451","25,284","25,205","22,230","22,772","21,279","22,496","23,821","25,670","26,260","26,122","27,272","26,259","28,206","25,615","24,522","25,109","25,955","23,065","26,582","24,927","27,682","25,358","22,890","21,624","19,416","18,330","18,591","14,069","13,604","12,406","9,969","11,213","10,591","10,642","10,725","7,301","7,669","7,603","8,660","8,082","6,406","5,985","5,771","4,841","4,312","3,875","3,162","2,480","2,100","1,622","1,187","947","721","475","341","209","437"
"광주광역시  (2900000000)","690,826","690,826","3,106","3,150","3,616","3,932","4,121","4,444","4,944","5,503","6,069","6,765","6,948","6,931","7,671","7,526","7,769","7,286","7,439","8,159","7,517","7,219","7,406","8,125","8,223","8,829","9,917","9,985","9,594","9,867","9,981","10,204","10,236","10,199","10,167","9,692","8,741","8,550","8,037","7,906","8,032","8,623","8,645","9,945","11,146","11,800","11,363","11,845","10,538","10,636","11,104","10,876","11,720","12,555","12,690","12,388","12,998","12,133","12,675","11,211","10,876","11,251","10,157","9,573","10,712","9,399","10,788","9,807","8,686","8,273","7,273","6,863","7,006","5,223","4,935","5,208","4,556","4,674","4,370","4,232","4,153","2,882","3,018","2,465","3,034","2,799","1,952","1,715","1,423","1,182","972","763","569","407","273","237","120","116","72","45","35","13","22","709,054","709,054","3,050","3,050","3,384","3,803","4,003","4,417","4,713","5,188","5,780","6,498","6,505","6,639","7,079","7,190","7,377","6,836","7,109","7,435","7,005","6,777","7,070","7,517","7,576","7,882","8,869","8,924","8,858","9,165","9,220","9,475","9,229","9,111","9,032","8,787","8,020","7,651","7,598","7,591","7,881","8,376","8,465","9,640","10,870","11,896","11,522","11,992","10,920","11,073","11,050","10,939","11,805","12,733","12,863","12,642","13,153","12,281","13,018","11,622","11,074","11,572","10,583","9,837","11,016","9,968","11,809","10,978","10,026","9,288","8,226","7,604","8,122","6,375","6,222","6,280","5,712","6,029","5,509","5,746","5,455","3,771","4,213","3,627","4,304","4,202","3,328","3,026","2,577","2,400","2,053","1,730","1,499","1,198","917","716","539","476","306","196","143","87","161"
"대전광역시  (3000000000)","717,511","717,511","3,733","3,714","4,044","3,982","4,124","4,163","4,712","5,263","5,701","6,386","6,612","6,502","6,901","7,141","7,244","6,713","7,020","7,530","7,250","7,005","7,243","8,190","8,483","9,519","10,546","10,813","10,725","11,040","11,286","11,669","11,574","11,355","11,455","10,978","10,128","9,983","9,495","9,271","8,868","9,301","9,002","9,669","10,690","11,297","11,436","11,315","10,408","10,600","10,277","10,872","11,394","12,556","12,477","12,658","13,140","12,522","13,189","11,543","11,190","10,643","11,036","9,340","11,113","10,866","11,950","10,773","9,523","9,249","8,680","8,008","8,199","6,081","5,942","5,731","4,468","4,974","4,508","4,271","3,993","2,708","2,878","2,712","2,958","2,734","1,856","1,749","1,518","1,245","1,011","783","614","479","344","215","142","104","90","46","31","11","38","722,096","722,096","3,587","3,406","3,753","3,710","3,829","4,134","4,497","4,778","5,588","5,957","6,180","6,226","6,619","6,575","6,802","6,424","6,363","7,061","6,920","6,984","7,409","8,144","7,949","8,370","9,619","9,607","9,611","9,968","10,290","10,179","9,977","9,796","9,987","9,740","9,044","8,358","8,152","8,201","8,253","8,599","8,532","9,344","10,454","11,408","11,421","11,197","10,615","10,781","10,480","11,160","11,323","12,647","12,773","12,434","12,960","12,302","13,662","11,860","11,052","10,632","11,536","9,518","11,312","11,165","13,045","11,776","10,369","9,811","9,206","9,078","9,271","6,981","6,656","6,429","5,360","5,737","5,595","5,102","4,996","3,366","3,960","3,948","4,313","4,194","3,121","2,948","2,834","2,398","2,083","1,855","1,586","1,231","912","764","556","458","307","239","136","86","175"
"울산광역시  (3100000000)","563,339","563,339","2,692","2,497","2,735","2,972","3,096","3,456","3,877","4,340","4,893","5,498","5,617","5,535","5,839","5,949","6,075","5,572","5,703","5,939","5,522","4,994","5,254","5,374","5,169","5,544","6,552","7,162","7,040","7,606","7,924","8,141","8,089","7,922","8,154","7,800","7,306","7,412","7,204","6,894","7,002","7,280","7,213","7,965","8,923","9,720","9,829","10,031","8,837","8,879","8,441","8,513","9,099","9,337","9,820","10,096","10,279","10,195","10,860","10,095","10,207","10,699","10,257","8,967","10,455","9,711","10,550","9,258","8,553","7,810","7,140","6,546","6,562","5,032","4,893","4,489","3,737","3,631","3,446","3,175","2,701","1,679","1,918","1,652","1,895","1,475","1,106","949","813","568","476","309","290","223","137","93","63","41","32","14","11","6","8","530,688","530,688","2,582","2,438","2,558","2,783","3,134","3,422","3,636","3,983","4,630","5,165","5,225","5,340","5,589","5,508","5,559","5,005","5,243","5,622","4,922","4,352","3,898","3,951","3,896","4,267","4,959","5,097","4,997","5,625","5,697","6,077","6,015","6,007","6,313","6,504","6,119","6,002","5,849","5,913","6,126","6,454","6,497","7,557","8,496","9,165","9,084","9,162","8,257","8,178","7,634","8,300","8,838","9,638","9,768","10,048","10,402","10,426","11,191","10,289","9,785","9,961","9,644","8,475","9,664","9,150","10,726","9,198","8,437","7,935","7,343","6,866","6,732","5,317","5,212","4,720","3,884","3,849","3,705","3,524","3,052","1,949","2,515","2,349","2,774","2,311","1,838","1,816","1,547","1,356","1,198","1,013","872","673","539","407","267","202","168","103","93","48","79"
"세종특별자치시  (3600000000)","195,189","195,189","1,428","1,366","1,591","1,787","1,884","2,041","2,298","2,455","2,697","2,953","3,014","2,862","2,980","2,958","3,003","2,650","2,539","2,589","2,310","2,040","1,970","1,891","1,728","1,684","1,879","1,830","1,780","1,800","1,959","2,186","2,370","2,635","2,829","2,895","2,850","2,993","2,960","3,038","3,168","3,248","3,336","3,494","3,894","4,311","4,137","4,235","3,696","3,643","3,501","3,488","3,594","3,708","3,463","3,489","3,326","2,972","2,915","2,452","2,264","2,079","2,358","1,928","2,235","2,072","2,348","2,009","1,824","1,702","1,539","1,561","1,535","1,117","1,075","997","795","891","802","668","657","437","447","432","467","422","327","274","240","194","169","154","117","86","41","39","31","18","16","14","7","5","4","197,022","197,022","1,453","1,337","1,556","1,750","1,855","1,882","2,202","2,436","2,530","2,825","2,781","2,753","2,845","2,841","2,813","2,631","2,687","2,732","2,262","1,952","1,760","1,704","1,602","1,576","1,639","1,760","1,856","1,897","2,039","2,327","2,427","2,610","2,837","3,045","2,996","3,005","3,006","3,079","3,245","3,296","3,393","3,788","4,325","4,548","4,373","4,329","3,916","3,669","3,477","3,459","3,379","3,383","3,150","2,924","3,027","2,583","2,735","2,353","2,179","2,076","2,211","1,867","2,110","2,124","2,327","2,156","1,907","1,767","1,674","1,527","1,593","1,216","1,100","1,062","862","955","878","777","782","517","611","628","697","658","537","532","486","427","377","345","352","260","223","150","127","85","76","59","34","16","35"
"경기도  (4100000000)","6,886,034","6,886,034","37,586","36,437","39,232","40,904","42,557","45,247","49,539","53,079","59,102","65,184","66,513","64,676","69,860","69,874","71,270","65,765","66,803","71,678","66,651","62,793","63,750","68,046","68,148","73,402","86,417","90,374","90,533","95,191","97,304","103,169","104,620","106,523","109,139","107,999","98,221","97,074","95,315","92,529","93,153","97,102","96,339","105,359","116,320","123,669","123,437","121,957","108,538","108,678","106,595","110,473","114,398","122,725","123,572","125,878","128,141","121,425","124,937","109,123","108,284","108,819","109,269","97,699","111,604","102,808","113,359","101,538","92,734","86,665","76,953","71,097","71,845","53,963","52,989","47,440","36,901","40,493","37,679","37,975","35,870","24,824","25,801","23,162","25,599","23,395","17,764","15,322","13,507","10,977","9,167","7,120","5,672","3,894","2,936","2,123","1,376","995","759","460","279","168","427","6,820,454","6,820,454","35,967","34,496","37,048","39,172","40,804","43,577","46,931","50,544","56,089","62,596","63,494","62,414","67,037","66,748","68,408","62,756","64,048","68,520","63,596","58,754","59,865","62,634","62,578","68,434","80,696","82,690","82,050","85,696","86,875","90,569","90,463","93,290","96,294","97,133","90,781","88,570","88,165","86,771","87,815","91,701","91,246","99,944","109,908","118,250","117,446","117,636","105,486","106,120","102,072","107,013","111,843","120,620","121,486","121,749","125,766","119,634","125,686","112,383","106,845","106,285","108,050","94,947","107,778","102,358","114,538","103,041","93,930","87,403","80,158","75,279","77,322","58,716","58,245","53,058","42,821","47,255","44,920","45,890","45,296","31,571","34,877","33,895","36,756","35,487","28,663","26,534","24,630","21,030","19,062","16,609","13,485","10,815","8,465","6,532","4,867","3,844","2,967","2,097","1,393","799","1,584"
