"행정구역","2025년05월_계_총인구수","2025년05월_계_연령구간인구수","2025년05월_계_0세","2025년05월_계_1세","2025년05월_계_2세","2025년05월_계_3세","2025년05월_계_4세","2025년05월_계_5세","2025년05월_계_6세","2025년05월_계_7세","2025년05월_계_8세","2025년05월_계_9세","2025년05월_계_10세","2025년05월_계_11세","2025년05월_계_12세","2025년05월_계_13세","2025년05월_계_14세","2025년05월_계_15세","2025년05월_계_16세","2025년05월_계_17세","2025년05월_계_18세","2025년05월_계_19세","2025년05월_계_20세","2025년05월_계_21세","2025년05월_계_22세","2025년05월_계_23세","2025년05월_계_24세","2025년05월_계_25세","2025년05월_계_26세","2025년05월_계_27세","2025년05월_계_28세","2025년05월_계_29세","2025년05월_계_30세","2025년05월_계_31세","2025년05월_계_32세","2025년05월_계_33세","2025년05월_계_34세","2025년05월_계_35세","2025년05월_계_36세","2025년05월_계_37세","2025년05월_계_38세","2025년05월_계_39세","2025년05월_계_40세","2025년05월_계_41세","2025년05월_계_42세","2025년05월_계_43세","2025년05월_계_44세","2025년05월_계_45세","2025년05월_계_46세","2025년05월_계_47세","2025년05월_계_48세","2025년05월_계_49세","2025년05월_계_50세","2025년05월_계_51세","2025년05월_계_52세","2025년05월_계_53세","2025년05월_계_54세","2025년05월_계_55세","2025년05월_계_56세","2025년05월_계_57세","2025년05월_계_58세","2025년05월_계_59세","2025년05월_계_60세","2025년05월_계_61세","2025년05월_계_62세","2025년05월_계_63세","2025년05월_계_64세","2025년05월_계_65세","2025년05월_계_66세","2025년05월_계_67세","2025년05월_계_68세","2025년05월_계_69세","2025년05월_계_70세","2025년05월_계_71세","2025년05월_계_72세","2025년05월_계_73세","2025년05월_계_74세","2025년05월_계_75세","2025년05월_계_76세","2025년05월_계_77세","2025년05월_계_78세","2025년05월_계_79세","2025년05월_계_80세","2025년05월_계_81세","2025년05월_계_82세","2025년05월_계_83세","2025년05월_계_84세","2025년05월_계_85세","2025년05월_계_86세","2025년05월_계_87세","2025년05월_계_88세","2025년05월_계_89세","2025년05월_계_90세","2025년05월_계_91세","2025년05월_계_92세","2025년05월_계_93세","2025년05월_계_94세","2025년05월_계_95세","2025년05월_계_96세","2025년05월_계_97세","2025년05월_계_98세","2025년05월_계_99세","2025년05월_계_100세 이상"
"전국  (0000000000)","51,169,148","51,169,148","241,862","231,812","247,006","261,884","274,699","295,822","323,309","351,487","391,153","435,125","445,399","439,246","473,933","476,876","486,740","450,113","458,859","493,623","460,969","438,916","451,347","483,532","485,747","524,608","608,609","628,555","624,491","657,823","673,966","700,557","699,570","708,153","723,132","712,205","652,458","640,673","627,195","611,930","620,251","644,353","641,954","708,367","781,778","833,806","834,003","835,286","750,751","755,381","735,423","769,899","810,713","874,336","887,250","893,794","925,413","887,301","932,515","837,554","814,397","822,714","824,497","740,916","864,102","815,565","928,574","845,659","772,106","730,962","679,754","642,293","657,667","503,286","501,600","474,415","385,303","417,490","394,935","390,406","370,547","250,036","281,376","267,168","302,237","282,000","218,592","201,387","182,393","151,348","133,116","112,784","91,664","69,350","53,663","41,375","28,763","22,366","16,918","11,304","7,494","4,286","8,828"
"서울특별시  (1100000000)","9,328,042","9,328,042","41,118","37,522","39,102","41,117","42,872","45,217","48,973","52,911","58,540","65,233","67,237","65,942","72,143","72,016","73,990","69,369","71,353","77,553","75,586","76,890","83,783","92,602","97,231","109,545","133,079","141,928","146,503","156,956","161,355","166,493","165,025","164,816","165,831","160,685","144,719","137,344","133,822","125,837","125,508","126,460","123,933","133,882","141,764","149,047","148,587","147,932","132,784","131,622","130,584","133,514","141,259","150,786","154,668","157,634","161,751","153,253","155,937","139,683","132,430","134,163","135,885","125,167","140,954","132,680","150,955","141,852","132,045","127,434","118,946","114,589","118,586","92,449","92,062","84,187","70,214","77,493","72,793","73,220","70,859","48,793","51,823","48,583","52,754","49,110","37,109","32,856","29,470","24,013","20,638","17,270","13,644","10,340","7,969","6,157","4,326","3,455","2,714","1,831","1,236","668","1,494"
"부산광역시  (2600000000)","3,254,457","3,254,457","13,215","12,756","13,817","14,985","15,342","16,825","18,666","20,931","23,258","26,325","26,685","25,930","27,580","27,738","27,896","25,039","25,243","27,210","25,452","25,005","26,533","29,620","30,561","32,788","37,823","38,174","36,353","38,193","39,345","40,200","40,492","41,162","42,323","41,824","38,084","38,248","36,812","35,746","36,011","37,461","38,102","42,531","47,194","51,179","52,239","52,818","46,193","45,700","43,504","45,772","49,097","52,320","53,533","54,348","56,114","54,719","57,681","52,881","51,326","52,356","51,353","48,500","58,571","56,480","65,705","60,041","56,548","54,758","53,014","50,920","52,120","40,341","40,779","38,918","32,059","34,238","32,785","31,087","28,573","18,520","22,345","20,258","22,331","19,786","15,806","14,108","12,169","9,549","8,395","6,812","5,491","4,021","2,905","2,439","1,521","1,174","1,004","678","403","257","437"
"대구광역시  (2700000000)","2,357,997","2,357,997","10,527","9,990","10,425","11,592","12,024","13,623","14,893","16,595","18,648","20,398","20,869","20,273","21,969","21,972","22,250","20,315","20,719","22,640","21,167","20,445","21,084","23,347","23,189","24,383","27,834","28,350","26,512","27,992","28,696","29,813","29,440","29,821","30,774","30,730","27,808","28,200","26,651","25,961","26,628","27,509","27,056","30,452","34,129","36,588","37,304","37,253","33,656","33,641","34,471","35,475","37,897","40,787","41,829","42,414","43,398","43,059","44,645","41,736","39,973","40,050","39,819","36,238","42,195","39,997","43,824","40,633","36,705","33,371","32,704","30,841","30,849","24,055","26,251","24,631","19,255","20,538","20,725","19,073","17,160","10,526","12,900","13,662","15,005","13,216","10,588","9,645","8,342","7,084","6,082","5,048","4,228","2,958","2,304","1,835","1,228","832","641","427","274","161","278"
"인천광역시  (2800000000)","3,037,049","3,037,049","16,190","15,152","16,140","17,015","17,455","18,783","20,567","21,331","23,751","26,207","26,942","26,215","28,154","28,556","29,016","26,615","27,034","29,097","27,202","25,831","25,823","28,104","28,163","30,820","35,398","37,205","37,342","39,717","40,906","42,698","43,544","45,035","46,597","46,816","42,462","41,551","40,772","39,088","39,519","41,333","40,699","44,927","49,249","52,398","52,286","52,167","45,952","46,380","44,113","46,090","48,801","51,768","52,869","52,932","54,815","52,384","55,333","49,757","48,416","49,751","51,131","45,799","53,263","49,557","54,829","49,856","45,172","42,241","37,933","35,375","35,520","26,683","25,913","23,790","18,649","21,145","19,645","19,563","19,013","12,896","13,416","12,921","14,293","13,093","10,082","9,181","8,677","7,105","6,136","5,378","4,272","3,294","2,687","2,008","1,479","1,155","905","579","405","240","537"
"광주광역시  (2900000000)","1,399,880","1,399,880","6,156","6,200","7,000","7,735","8,124","8,861","9,657","10,691","11,849","13,263","13,453","13,570","14,750","14,716","15,146","14,122","14,548","15,594","14,522","13,996","14,476","15,642","15,799","16,711","18,786","18,909","18,452","19,032","19,201","19,679","19,465","19,310","19,199","18,479","16,761","16,201","15,635","15,497","15,913","16,999","17,110","19,585","22,016","23,696","22,885","23,837","21,458","21,709","22,154","21,815","23,525","25,288","25,553","25,030","26,151","24,414","25,693","22,833","21,950","22,823","20,740","19,410","21,728","19,367","22,597","20,785","18,712","17,561","15,499","14,467","15,128","11,598","11,157","11,488","10,268","10,703","9,879","9,978","9,608","6,653","7,231","6,092","7,338","7,001","5,280","4,741","4,000","3,582","3,025","2,493","2,068","1,605","1,190","953","659","592","378","241","178","100","183"
"대전광역시  (3000000000)","1,439,607","1,439,607","7,320","7,120","7,797","7,692","7,953","8,297","9,209","10,041","11,289","12,343","12,792","12,728","13,520","13,716","14,046","13,137","13,383","14,591","14,170","13,989","14,652","16,334","16,432","17,889","20,165","20,420","20,336","21,008","21,576","21,848","21,551","21,151","21,442","20,718","19,172","18,341","17,647","17,472","17,121","17,900","17,534","19,013","21,144","22,705","22,857","22,512","21,023","21,381","20,757","22,032","22,717","25,203","25,250","25,092","26,100","24,824","26,851","23,403","22,242","21,275","22,572","18,858","22,425","22,031","24,995","22,549","19,892","19,060","17,886","17,086","17,470","13,062","12,598","12,160","9,828","10,711","10,103","9,373","8,989","6,074","6,838","6,660","7,271","6,928","4,977","4,697","4,352","3,643","3,094","2,638","2,200","1,710","1,256","979","698","562","397","285","167","97","213"
"울산광역시  (3100000000)","1,094,027","1,094,027","5,274","4,935","5,293","5,755","6,230","6,878","7,513","8,323","9,523","10,663","10,842","10,875","11,428","11,457","11,634","10,577","10,946","11,561","10,444","9,346","9,152","9,325","9,065","9,811","11,511","12,259","12,037","13,231","13,621","14,218","14,104","13,929","14,467","14,304","13,425","13,414","13,053","12,807","13,128","13,734","13,710","15,522","17,419","18,885","18,913","19,193","17,094","17,057","16,075","16,813","17,937","18,975","19,588","20,144","20,681","20,621","22,051","20,384","19,992","20,660","19,901","17,442","20,119","18,861","21,276","18,456","16,990","15,745","14,483","13,412","13,294","10,349","10,105","9,209","7,621","7,480","7,151","6,699","5,753","3,628","4,433","4,001","4,669","3,786","2,944","2,765","2,360","1,924","1,674","1,322","1,162","896","676","500","330","243","200","117","104","54","87"
"세종특별자치시  (3600000000)","392,211","392,211","2,881","2,703","3,147","3,537","3,739","3,923","4,500","4,891","5,227","5,778","5,795","5,615","5,825","5,799","5,816","5,281","5,226","5,321","4,572","3,992","3,730","3,595","3,330","3,260","3,518","3,590","3,636","3,697","3,998","4,513","4,797","5,245","5,666","5,940","5,846","5,998","5,966","6,117","6,413","6,544","6,729","7,282","8,219","8,859","8,510","8,564","7,612","7,312","6,978","6,947","6,973","7,091","6,613","6,413","6,353","5,555","5,650","4,805","4,443","4,155","4,569","3,795","4,345","4,196","4,675","4,165","3,731","3,469","3,213","3,088","3,128","2,333","2,175","2,059","1,657","1,846","1,680","1,445","1,439","954","1,058","1,060","1,164","1,080","864","806","726","621","546","499","469","346","264","189","158","103","92","73","41","21","39"
"경기도  (4100000000)","13,706,488","13,706,488","73,553","70,933","76,280","80,076","83,361","88,824","96,470","103,623","115,191","127,780","130,007","127,090","136,897","136,622","139,678","128,521","130,851","140,198","130,247","121,547","123,615","130,680","130,726","141,836","167,113","173,064","172,583","180,887","184,179","193,738","195,083","199,813","205,433","205,132","189,002","185,644","183,480","179,300","180,968","188,803","187,585","205,303","226,228","241,919","240,883","239,593","214,024","214,798","208,667","217,486","226,241","243,345","245,058","247,627","253,907","241,059","250,623","221,506","215,129","215,104","217,319","192,646","219,382","205,166","227,897","204,579","186,664","174,068","157,111","146,376","149,167","112,679","111,234","100,498","79,722","87,748","82,599","83,865","81,166","56,395","60,678","57,057","62,355","58,882","46,427","41,856","38,137","32,007","28,229","23,729","19,157","14,709","11,401","8,655","6,243","4,839","3,726","2,557","1,672","967","2,011"
